id,CueIndex
1,VO_CHR_KNIGHTSSTORY_110317_01_03_0001
2,VO_CHR_KNIGHTSSTORY_110317_01_03_0002
3,VO_CHR_KNIGHTSSTORY_110317_01_03_0003
4,VO_CHR_KNIGHTSSTORY_110317_01_03_0004
5,VO_CHR_KNIGHTSSTORY_110317_01_03_0005
6,VO_CHR_KNIGHTSSTORY_110317_01_03_0006
7,VO_CHR_KNIGHTSSTORY_110317_01_03_0007
8,VO_CHR_KNIGHTSSTORY_110317_01_03_0008
9,VO_CHR_KNIGHTSSTORY_110317_01_03_0009
10,VO_CHR_KNIGHTSSTORY_110317_01_03_0010
11,VO_CHR_KNIGHTSSTORY_110317_01_03_0011
12,VO_CHR_KNIGHTSSTORY_110317_01_03_0012
13,VO_CHR_KNIGHTSSTORY_110317_01_03_0013
14,VO_CHR_KNIGHTSSTORY_110317_01_03_0014
15,VO_CHR_KNIGHTSSTORY_110317_01_03_0015
16,VO_CHR_KNIGHTSSTORY_110317_01_03_0016
17,VO_CHR_KNIGHTSSTORY_110317_01_03_0017
18,VO_CHR_KNIGHTSSTORY_110317_01_03_0018
19,VO_CHR_KNIGHTSSTORY_110317_01_03_0019
20,VO_CHR_KNIGHTSSTORY_110317_01_03_0020
21,VO_CHR_KNIGHTSSTORY_110317_01_03_0021
22,VO_CHR_KNIGHTSSTORY_110317_01_03_0022
23,VO_CHR_KNIGHTSSTORY_110317_01_03_0023
24,VO_CHR_KNIGHTSSTORY_110317_01_03_0024
25,VO_CHR_KNIGHTSSTORY_110317_01_03_0025
26,VO_CHR_KNIGHTSSTORY_110317_01_03_0026
27,VO_CHR_KNIGHTSSTORY_110317_01_03_0027
28,VO_CHR_KNIGHTSSTORY_110317_01_03_0028
29,VO_CHR_KNIGHTSSTORY_110317_01_03_0029
30,VO_CHR_KNIGHTSSTORY_110317_01_03_0030
31,VO_CHR_KNIGHTSSTORY_110317_01_03_0031
32,VO_CHR_KNIGHTSSTORY_110317_01_03_0033
33,VO_CHR_KNIGHTSSTORY_110317_01_03_0034
34,VO_CHR_KNIGHTSSTORY_110317_01_03_0035
35,VO_CHR_KNIGHTSSTORY_110317_01_03_0036
36,VO_CHR_KNIGHTSSTORY_110317_01_03_0037
37,VO_CHR_KNIGHTSSTORY_110317_01_03_0038
